dataset,hidden_size,k_top,initialization,test_loss,dead_neurons,dead_neuron_pct,active_features,mean_activation_freq,mean_activation_strength
mnist,128,5,SAE,0.4946116514503956,103,80.46875,25,0.039060548,0.2059647822380066
mnist,128,5,SAE_Init,0.42319072782993317,77,60.15625,51,0.0390625,0.23085877971321928
mnist,128,5,SAE_AuxLoss,0.9950292035937309,101,78.90625,27,0.038691275,0.1753319481956876
mnist,128,5,Complete,0.8860048741102219,82,64.0625,46,0.03906133,0.19375895413205677
mnist,128,10,SAE,0.4270593002438545,103,80.46875,25,0.07812253,0.15368275642395018
mnist,128,10,SAE_Init,0.33382738679647445,53,41.40625,75,0.078125,0.17065406779448192
mnist,128,10,SAE_AuxLoss,0.8683896899223328,98,76.5625,30,0.077229686,0.13676690691888022
mnist,128,10,Complete,0.8521906271576881,59,46.09375,69,0.078125,0.3557003360727559
mnist,128,20,SAE,0.3315537512302399,96,75.0,32,0.15612032,0.11979261646047235
mnist,128,20,SAE_Init,0.2456859391182661,33,25.78125,95,0.1562487,0.1265092850515717
mnist,128,20,SAE_AuxLoss,0.6435206830501556,77,60.15625,51,0.14995795,0.13563553448857776
mnist,128,20,Complete,0.5998527824878692,43,33.59375,85,0.15625,0.6868752834113205
mnist,128,30,SAE,0.2931913238018751,90,70.3125,38,0.23031172,0.09954841729057462
mnist,128,30,SAE_Init,0.18437224328517915,31,24.21875,97,0.23431264,0.11027047091845385
mnist,128,30,SAE_AuxLoss,0.5619899295270443,79,61.71875,49,0.2095073,0.9208602035912324
mnist,128,30,Complete,0.4464218743145466,41,32.03125,87,0.23435599,0.5575386073290446
mnist,128,40,SAE,0.27340540029108523,86,67.1875,42,0.23853374,0.09339745183076177
mnist,128,40,SAE_Init,0.15820327997207642,36,28.125,92,0.31177735,0.10102517550568217
mnist,128,40,SAE_AuxLoss,0.42433096915483476,55,42.96875,73,0.27416262,0.6693315267154615
mnist,128,40,Complete,0.37030437365174296,41,32.03125,87,0.30385235,0.8267069117155397
mnist,128,50,SAE,0.2693558305501938,85,66.40625,43,0.2424155,0.09145905250726744
mnist,128,50,SAE_Init,0.14747942257672547,34,26.5625,94,0.3852573,0.09307107341257816
mnist,128,50,SAE_AuxLoss,0.6040265247225761,58,45.3125,42,0.19489479,1.1361473131747473
mnist,128,50,Complete,0.3248911812901497,39,30.46875,89,0.3349926,0.9675664293809971
mnist,128,60,SAE,0.2648897938430309,84,65.625,44,0.24730821,0.09040513600815427
mnist,128,60,SAE_Init,0.13703522849828004,28,21.875,100,0.4426504,0.08856317415833473
mnist,128,60,SAE_AuxLoss,0.571437767893076,50,39.0625,45,0.20919661,0.9823556949694952
mnist,128,60,Complete,0.28904341384768484,29,22.65625,99,0.3631439,0.5851305719051096
mnist,128,70,SAE,0.2567387193441391,82,64.0625,46,0.25365782,0.08883513380651889
mnist,128,70,SAE_Init,0.15914893820881842,44,34.375,84,0.38131797,0.09526904681254
mnist,128,70,SAE_AuxLoss,0.5178390093147754,40,31.25,52,0.22690284,0.6876077367565953
mnist,128,70,Complete,0.3300082691013813,43,33.59375,85,0.35006082,1.3328469280372648
mnist,128,80,SAE,0.26465321108698847,84,65.625,44,0.24741706,0.08959813703867522
mnist,128,80,SAE_Init,0.17170180194079876,52,40.625,76,0.35771498,0.09814330705098416
mnist,128,80,SAE_AuxLoss,0.46008850783109667,34,26.5625,60,0.2512552,0.5025670040398836
mnist,128,80,Complete,0.36222548559308054,52,40.625,76,0.33509701,1.7247391217633297
mnist,128,90,SAE,0.2602920413017273,83,64.84375,45,0.25226563,0.08865271591477925
mnist,128,90,SAE_Init,0.18181899152696132,57,44.53125,71,0.33882982,0.10014388794210595
mnist,128,90,SAE_AuxLoss,0.4181879721581936,24,18.75,67,0.26790687,0.36406065519454317
mnist,128,90,Complete,0.37462560534477235,55,42.96875,73,0.324787,1.8481991323706222
mnist,128,100,SAE,0.2693743802607059,85,66.40625,43,0.24198452,0.09015914780455966
mnist,128,100,SAE_Init,0.18373317494988442,58,45.3125,70,0.34160677,0.10006834151489394
mnist,128,100,SAE_AuxLoss,0.3680275060236454,15,11.71875,78,0.29582903,0.2802120389083612
mnist,128,100,Complete,0.3918735720217228,58,45.3125,70,0.31814194,1.9298455357551574
mnist,128,110,SAE,0.27037485092878344,85,66.40625,43,0.2464383,0.08891829952251079
mnist,128,110,SAE_Init,0.18651833944022655,59,46.09375,69,0.33713308,0.09959313359813414
mnist,128,110,SAE_AuxLoss,0.33974314481019974,9,7.03125,85,0.30777228,0.17143631315694247
mnist,128,110,Complete,0.391743341088295,58,45.3125,70,0.31716955,1.9179678329399654
mnist,128,120,SAE,0.2701746575534344,85,66.40625,43,0.24081877,0.08989694818507793
mnist,128,120,SAE_Init,0.184331464022398,58,45.3125,70,0.33402437,0.09976955242455006
mnist,128,120,SAE_AuxLoss,0.3087410792708397,3,2.34375,91,0.3235922,0.09173440469613114
mnist,128,120,Complete,0.38716534003615377,57,44.53125,71,0.3218767,1.8789749985009851
olivetti,256,5,SAE,0.511515200138092,234,91.40625,22,0.01953125,0.19263092428445816
olivetti,256,5,SAE_Init,0.46771660447120667,209,81.640625,47,0.019494629,0.3496954060615377
olivetti,256,5,SAE_AuxLoss,1.0258056124051411,233,91.015625,23,0.01953125,0.1884128334729568
olivetti,256,5,Complete,0.9354332089424133,209,81.640625,47,0.019494629,0.3496954060615377
olivetti,256,10,SAE,0.45262964566548664,219,85.546875,37,0.0390625,0.13253839676444595
